ac_pow_current,statetime
0.0,"2019-10-23 14:31:48"
0.231,"2019-10-23 14:31:41"
0.296,"2019-10-23 14:31:34"
0.196,"2019-10-23 14:31:27"
0.284,"2019-10-23 14:26:27"
0.329,"2019-10-23 14:21:27"
0.31,"2019-10-23 14:16:27"
0.357,"2019-10-23 14:13:54"
0.259,"2019-10-23 14:11:27"
0.303,"2019-10-23 14:06:27"
0.249,"2019-10-23 14:01:27"
0.317,"2019-10-23 13:56:27"
0.285,"2019-10-23 13:51:27"
0.339,"2019-10-23 13:46:27"
0.363,"2019-10-23 13:41:27"
0.288,"2019-10-23 13:36:27"
0.304,"2019-10-23 13:31:27"
0.398,"2019-10-23 13:26:27"
0.321,"2019-10-23 13:21:27"
0.406,"2019-10-23 13:16:27"
0.407,"2019-10-23 13:11:27"
0.275,"2019-10-23 13:06:27"
0.348,"2019-10-23 13:01:27"
0.255,"2019-10-23 12:56:27"
0.289,"2019-10-23 12:51:27"
0.305,"2019-10-23 12:46:27"
0.294,"2019-10-23 12:41:27"
0.285,"2019-10-23 12:36:27"
0.324,"2019-10-23 12:31:27"
0.289,"2019-10-23 12:26:27"
0.274,"2019-10-23 12:21:27"
0.33,"2019-10-23 12:16:27"
0.295,"2019-10-23 12:11:27"
0.275,"2019-10-23 12:10:18"
0.324,"2019-10-23 12:10:13"
0.196,"2019-10-23 12:10:12"
0.328,"2019-10-23 12:10:08"
0.252,"2019-10-23 12:06:27"
0.297,"2019-10-23 12:01:27"
0.3,"2019-10-23 11:59:09"
0.189,"2019-10-23 11:59:01"
0.394,"2019-10-23 11:58:59"
0.256,"2019-10-23 11:58:58"
0.393,"2019-10-23 11:56:27"
0.309,"2019-10-23 11:51:27"
0.415,"2019-10-23 11:46:27"
0.376,"2019-10-23 11:41:27"
0.357,"2019-10-23 11:36:27"
0.33,"2019-10-23 11:31:27"
0.327,"2019-10-23 11:26:27"
0.209,"2019-10-23 11:24:42"
0.186,"2019-10-23 11:24:37"
0.0,"2019-10-22 14:08:11"
0.265,"2019-10-22 14:07:58"
0.187,"2019-10-22 14:07:56"
0.158,"2019-10-22 14:07:52"
0.217,"2019-10-22 14:07:49"
0.175,"2019-10-22 14:07:44"
0.299,"2019-10-22 14:07:42"
0.393,"2019-10-22 14:07:40"
0.188,"2019-10-22 14:07:38"
0.19,"2019-10-22 14:07:29"
0.076,"2019-10-22 14:07:26"
0.13,"2019-10-22 14:07:24"
0.175,"2019-10-22 14:07:21"
0.291,"2019-10-22 14:07:20"
0.335,"2019-10-22 14:07:10"
0.176,"2019-10-22 14:07:09"
0.346,"2019-10-22 14:07:04"
0.121,"2019-10-22 14:07:02"
0.356,"2019-10-22 14:06:50"
0.167,"2019-10-22 14:06:49"
0.133,"2019-10-22 14:06:45"
0.248,"2019-10-22 14:06:41"
0.198,"2019-10-22 14:06:39"
0.172,"2019-10-22 14:06:35"
0.258,"2019-10-22 14:06:32"
0.27,"2019-10-22 14:06:29"
0.177,"2019-10-22 14:06:26"
0.193,"2019-10-22 14:06:22"
0.293,"2019-10-22 14:06:19"
0.108,"2019-10-22 14:06:15"
0.197,"2019-10-22 14:06:12"
0.229,"2019-10-22 14:06:11"
0.278,"2019-10-22 14:06:08"
0.185,"2019-10-22 14:06:03"
0.303,"2019-10-22 14:05:57"
0.168,"2019-10-22 14:05:56"
0.158,"2019-10-22 14:05:52"
0.277,"2019-10-22 14:05:41"
0.291,"2019-10-22 14:05:38"
0.206,"2019-10-22 14:05:33"
0.152,"2019-10-22 14:05:32"
0.232,"2019-10-22 14:05:24"
0.318,"2019-10-22 14:05:22"
0.249,"2019-10-22 14:05:21"
0.374,"2019-10-22 14:05:18"
0.319,"2019-10-22 14:05:12"
0.302,"2019-10-22 14:05:11"
0.175,"2019-10-22 14:05:03"
0.296,"2019-10-22 14:04:59"
0.183,"2019-10-22 14:04:56"
0.281,"2019-10-22 14:04:50"
0.332,"2019-10-22 14:04:46"
0.112,"2019-10-22 14:04:35"
0.206,"2019-10-22 14:04:33"
0.187,"2019-10-22 14:04:32"
0.184,"2019-10-22 14:04:30"
0.206,"2019-10-22 14:04:26"
0.237,"2019-10-22 14:04:23"
0.169,"2019-10-22 14:04:13"
0.306,"2019-10-22 14:04:08"
0.229,"2019-10-22 14:04:01"
0.312,"2019-10-22 14:03:54"
0.255,"2019-10-22 14:01:26"
0.274,"2019-10-22 13:56:26"
0.4,"2019-10-22 13:51:26"
0.394,"2019-10-22 13:46:26"
0.144,"2019-10-22 13:43:17"
0.0,"2019-10-22 10:05:03"
0.211,"2019-10-22 10:05:00"
0.319,"2019-10-22 10:04:50"
0.304,"2019-10-22 10:01:26"
0.308,"2019-10-22 09:56:26"
0.289,"2019-10-22 09:51:26"
0.229,"2019-10-22 09:46:38"
0.271,"2019-10-22 09:46:30"
0.368,"2019-10-22 09:46:26"
0.33,"2019-10-22 09:41:26"
0.193,"2019-10-22 09:38:16"
0.064,"2019-10-22 09:38:09"
0.248,"2019-10-22 09:38:06"
0.315,"2019-10-22 09:36:26"
0.358,"2019-10-22 09:31:26"
0.327,"2019-10-22 09:26:26"
0.427,"2019-10-22 09:21:26"
0.367,"2019-10-22 09:16:26"
0.342,"2019-10-22 09:06:26"
0.304,"2019-10-22 09:01:26"
0.355,"2019-10-22 08:56:26"
0.357,"2019-10-22 08:51:26"
0.305,"2019-10-22 08:46:26"
0.362,"2019-10-22 08:45:29"
0.416,"2019-10-22 08:45:25"
0.27,"2019-10-22 08:45:23"
0.254,"2019-10-22 08:45:20"
0.34,"2019-10-22 08:45:18"
0.322,"2019-10-22 08:41:26"
0.328,"2019-10-22 08:36:26"
0.353,"2019-10-22 08:31:26"
0.338,"2019-10-22 08:26:26"
0.357,"2019-10-22 08:21:26"
0.354,"2019-10-22 08:16:26"
0.368,"2019-10-22 08:11:26"
0.327,"2019-10-22 08:06:26"
0.384,"2019-10-22 08:01:26"
0.355,"2019-10-22 07:56:26"
0.383,"2019-10-22 07:51:26"
0.347,"2019-10-22 07:46:26"
0.366,"2019-10-22 07:41:26"
0.367,"2019-10-22 07:36:26"
0.371,"2019-10-22 07:31:26"
0.348,"2019-10-22 07:26:26"
0.264,"2019-10-22 07:21:29"
0.334,"2019-10-22 07:21:27"
0.3,"2019-10-22 07:21:26"
0.268,"2019-10-22 07:21:23"
0.315,"2019-10-22 07:21:19"
0.361,"2019-10-22 07:21:18"
0.428,"2019-10-22 07:16:26"
0.384,"2019-10-22 07:11:27"
0.271,"2019-10-22 07:11:26"
0.306,"2019-10-22 07:11:20"
0.217,"2019-10-22 07:11:14"
0.0,"2019-10-21 14:23:20"
0.265,"2019-10-21 14:23:07"
0.248,"2019-10-21 14:23:05"
0.249,"2019-10-21 14:22:52"
0.361,"2019-10-21 14:21:25"
0.239,"2019-10-21 14:17:23"
