ac_pow_power,statetime
0,"2019-10-23 14:31:48"
9,"2019-10-23 14:31:41"
8,"2019-10-23 14:31:35"
56,"2019-10-23 14:31:34"
7,"2019-10-23 14:31:29"
15,"2019-10-23 14:31:27"
58,"2019-10-23 14:26:27"
60,"2019-10-23 14:21:27"
49,"2019-10-23 14:16:27"
59,"2019-10-23 14:13:55"
79,"2019-10-23 14:13:54"
51,"2019-10-23 14:11:27"
60,"2019-10-23 14:06:27"
55,"2019-10-23 14:01:27"
66,"2019-10-23 13:56:27"
50,"2019-10-23 13:51:27"
64,"2019-10-23 13:46:27"
52,"2019-10-23 13:41:27"
54,"2019-10-23 13:36:27"
55,"2019-10-23 13:31:27"
60,"2019-10-23 13:26:27"
65,"2019-10-23 13:21:27"
57,"2019-10-23 13:16:27"
59,"2019-10-23 13:11:27"
62,"2019-10-23 13:01:27"
57,"2019-10-23 12:56:27"
59,"2019-10-23 12:46:27"
64,"2019-10-23 12:41:27"
59,"2019-10-23 12:26:27"
56,"2019-10-23 12:16:27"
60,"2019-10-23 12:11:27"
61,"2019-10-23 12:10:18"
12,"2019-10-23 12:10:13"
5,"2019-10-23 12:10:12"
20,"2019-10-23 12:10:08"
56,"2019-10-23 12:06:27"
61,"2019-10-23 12:01:27"
67,"2019-10-23 11:59:09"
7,"2019-10-23 11:59:01"
15,"2019-10-23 11:58:59"
31,"2019-10-23 11:58:58"
57,"2019-10-23 11:51:27"
64,"2019-10-23 11:46:27"
66,"2019-10-23 11:41:27"
71,"2019-10-23 11:36:27"
68,"2019-10-23 11:26:27"
46,"2019-10-23 11:24:42"
13,"2019-10-23 11:24:37"
0,"2019-10-22 14:08:11"
8,"2019-10-22 14:07:58"
20,"2019-10-22 14:07:56"
5,"2019-10-22 14:07:52"
20,"2019-10-22 14:07:49"
6,"2019-10-22 14:07:44"
41,"2019-10-22 14:07:42"
7,"2019-10-22 14:07:40"
20,"2019-10-22 14:07:38"
7,"2019-10-22 14:07:29"
15,"2019-10-22 14:07:27"
6,"2019-10-22 14:07:26"
14,"2019-10-22 14:07:24"
7,"2019-10-22 14:07:21"
14,"2019-10-22 14:07:20"
7,"2019-10-22 14:07:10"
14,"2019-10-22 14:07:09"
7,"2019-10-22 14:07:04"
20,"2019-10-22 14:07:02"
11,"2019-10-22 14:06:51"
35,"2019-10-22 14:06:50"
7,"2019-10-22 14:06:49"
15,"2019-10-22 14:06:47"
5,"2019-10-22 14:06:45"
14,"2019-10-22 14:06:42"
7,"2019-10-22 14:06:41"
