humidity_in,statetime
31.0,"2019-10-24 05:58:53"
30.0,"2019-10-24 05:58:43"
31.0,"2019-10-24 05:57:23"
30.0,"2019-10-24 05:57:13"
31.0,"2019-10-24 05:56:33"
30.0,"2019-10-24 05:55:53"
31.0,"2019-10-24 05:55:43"
30.0,"2019-10-24 05:45:23"
31.0,"2019-10-24 05:44:33"
30.0,"2019-10-24 05:44:23"
31.0,"2019-10-24 05:44:13"
30.0,"2019-10-24 05:40:53"
31.0,"2019-10-24 05:39:33"
32.0,"2019-10-24 05:14:33"
31.0,"2019-10-24 05:14:23"
32.0,"2019-10-24 05:14:13"
31.0,"2019-10-24 05:14:03"
32.0,"2019-10-24 05:12:23"
31.0,"2019-10-24 05:12:03"
32.0,"2019-10-24 05:11:54"
31.0,"2019-10-24 05:11:43"
32.0,"2019-10-24 05:09:13"
31.0,"2019-10-24 05:09:03"
32.0,"2019-10-24 05:08:03"
31.0,"2019-10-24 05:07:53"
32.0,"2019-10-24 05:07:13"
31.0,"2019-10-24 05:07:03"
32.0,"2019-10-24 05:03:53"
31.0,"2019-10-24 05:03:43"
32.0,"2019-10-24 04:24:13"
33.0,"2019-10-24 04:23:43"
32.0,"2019-10-24 04:23:33"
33.0,"2019-10-24 04:01:13"
34.0,"2019-10-24 04:01:03"
33.0,"2019-10-24 04:00:53"
34.0,"2019-10-24 04:00:33"
33.0,"2019-10-24 03:57:23"
34.0,"2019-10-24 03:56:53"
33.0,"2019-10-24 03:56:43"
34.0,"2019-10-24 03:56:23"
33.0,"2019-10-24 03:56:13"
34.0,"2019-10-24 03:56:03"
33.0,"2019-10-24 03:54:33"
34.0,"2019-10-24 03:54:13"
33.0,"2019-10-24 03:52:43"
34.0,"2019-10-24 03:52:23"
33.0,"2019-10-24 03:51:53"
34.0,"2019-10-24 03:51:43"
33.0,"2019-10-24 03:51:33"
34.0,"2019-10-24 03:51:23"
33.0,"2019-10-24 03:50:13"
34.0,"2019-10-24 03:50:03"
33.0,"2019-10-24 03:49:53"
34.0,"2019-10-24 03:49:13"
33.0,"2019-10-24 03:39:43"
34.0,"2019-10-24 03:39:33"
33.0,"2019-10-24 03:16:23"
34.0,"2019-10-24 03:16:13"
33.0,"2019-10-24 03:15:13"
34.0,"2019-10-24 03:14:53"
33.0,"2019-10-24 03:12:23"
34.0,"2019-10-24 03:12:13"
33.0,"2019-10-24 03:12:03"
34.0,"2019-10-24 03:11:33"
33.0,"2019-10-24 03:11:23"
34.0,"2019-10-24 03:11:13"
33.0,"2019-10-24 03:09:13"
34.0,"2019-10-24 03:08:03"
33.0,"2019-10-24 03:07:23"
34.0,"2019-10-24 03:07:13"
33.0,"2019-10-24 03:06:33"
34.0,"2019-10-24 03:05:13"
33.0,"2019-10-24 03:04:23"
34.0,"2019-10-24 03:04:03"
33.0,"2019-10-24 03:02:53"
34.0,"2019-10-24 03:01:44"
33.0,"2019-10-24 03:00:53"
34.0,"2019-10-24 03:00:43"
33.0,"2019-10-24 03:00:13"
34.0,"2019-10-24 03:00:03"
33.0,"2019-10-24 02:58:13"
34.0,"2019-10-24 02:57:43"
33.0,"2019-10-24 02:48:53"
34.0,"2019-10-24 02:48:43"
33.0,"2019-10-24 02:48:33"
34.0,"2019-10-24 02:47:43"
33.0,"2019-10-24 02:45:43"
34.0,"2019-10-24 02:45:33"
33.0,"2019-10-24 02:41:23"
34.0,"2019-10-24 02:41:13"
33.0,"2019-10-24 01:37:43"
34.0,"2019-10-24 01:37:33"
33.0,"2019-10-24 01:37:23"
34.0,"2019-10-24 01:37:13"
33.0,"2019-10-24 01:34:43"
34.0,"2019-10-24 01:34:33"
33.0,"2019-10-24 01:33:53"
34.0,"2019-10-24 01:33:43"
33.0,"2019-10-24 01:32:33"
34.0,"2019-10-24 01:32:23"
33.0,"2019-10-24 01:29:53"
34.0,"2019-10-24 01:28:43"
33.0,"2019-10-24 01:28:13"
34.0,"2019-10-24 01:28:03"
33.0,"2019-10-24 01:26:13"
34.0,"2019-10-24 01:25:23"
33.0,"2019-10-24 01:24:13"
34.0,"2019-10-24 01:23:13"
33.0,"2019-10-24 01:23:03"
34.0,"2019-10-24 01:22:53"
33.0,"2019-10-24 01:22:33"
34.0,"2019-10-24 01:22:03"
33.0,"2019-10-24 01:21:53"
34.0,"2019-10-24 01:20:53"
33.0,"2019-10-24 01:20:33"
34.0,"2019-10-24 01:20:23"
33.0,"2019-10-24 01:20:03"
34.0,"2019-10-24 01:19:43"
33.0,"2019-10-24 01:19:23"
34.0,"2019-10-24 01:18:33"
33.0,"2019-10-24 01:18:23"
34.0,"2019-10-24 01:18:03"
33.0,"2019-10-24 01:17:53"
34.0,"2019-10-24 01:17:43"
33.0,"2019-10-24 01:17:03"
34.0,"2019-10-24 01:16:23"
33.0,"2019-10-24 01:16:13"
34.0,"2019-10-24 01:16:03"
33.0,"2019-10-24 01:15:53"
34.0,"2019-10-24 01:15:43"
33.0,"2019-10-24 01:15:33"
34.0,"2019-10-24 01:15:04"
33.0,"2019-10-24 01:14:43"
34.0,"2019-10-24 01:13:44"
33.0,"2019-10-24 01:13:33"
34.0,"2019-10-24 01:13:23"
33.0,"2019-10-24 01:13:13"
34.0,"2019-10-24 01:13:03"
33.0,"2019-10-24 01:11:23"
34.0,"2019-10-24 01:11:13"
33.0,"2019-10-24 01:10:33"
34.0,"2019-10-24 01:10:23"
33.0,"2019-10-24 01:08:53"
34.0,"2019-10-24 01:08:13"
33.0,"2019-10-24 01:08:03"
34.0,"2019-10-24 01:07:43"
33.0,"2019-10-24 01:07:33"
34.0,"2019-10-24 01:07:23"
33.0,"2019-10-24 01:06:23"
34.0,"2019-10-24 01:06:03"
33.0,"2019-10-24 01:05:53"
34.0,"2019-10-24 01:05:43"
33.0,"2019-10-24 01:05:23"
34.0,"2019-10-24 01:05:13"
33.0,"2019-10-24 01:05:03"
34.0,"2019-10-24 01:04:53"
33.0,"2019-10-24 01:04:23"
34.0,"2019-10-24 01:04:03"
33.0,"2019-10-24 01:03:13"
34.0,"2019-10-24 01:03:03"
33.0,"2019-10-24 01:02:13"
34.0,"2019-10-24 01:01:53"
33.0,"2019-10-24 01:01:03"
34.0,"2019-10-24 01:00:33"
33.0,"2019-10-24 00:59:53"
34.0,"2019-10-24 00:59:13"
33.0,"2019-10-24 00:59:03"
34.0,"2019-10-24 00:57:43"
33.0,"2019-10-24 00:57:13"
34.0,"2019-10-24 00:56:53"
33.0,"2019-10-24 00:56:33"
34.0,"2019-10-24 00:55:43"
33.0,"2019-10-24 00:55:33"
34.0,"2019-10-24 00:55:13"
33.0,"2019-10-24 00:55:03"
34.0,"2019-10-24 00:54:23"
33.0,"2019-10-24 00:54:13"
34.0,"2019-10-24 00:54:03"
33.0,"2019-10-24 00:53:53"
34.0,"2019-10-24 00:53:33"
33.0,"2019-10-24 00:53:23"
34.0,"2019-10-24 00:53:13"
33.0,"2019-10-24 00:52:43"
34.0,"2019-10-24 00:51:33"
33.0,"2019-10-24 00:50:23"
34.0,"2019-10-24 00:50:03"
33.0,"2019-10-24 00:49:43"
34.0,"2019-10-24 00:49:03"
33.0,"2019-10-24 00:48:43"
34.0,"2019-10-24 00:43:13"
33.0,"2019-10-24 00:43:03"
34.0,"2019-10-24 00:37:43"
33.0,"2019-10-24 00:37:33"
34.0,"2019-10-24 00:35:53"
33.0,"2019-10-24 00:35:43"
34.0,"2019-10-24 00:35:03"
33.0,"2019-10-24 00:34:53"
34.0,"2019-10-24 00:34:43"
33.0,"2019-10-24 00:34:13"
34.0,"2019-10-24 00:34:03"
33.0,"2019-10-24 00:33:53"
34.0,"2019-10-24 00:33:43"
33.0,"2019-10-24 00:33:33"
34.0,"2019-10-24 00:32:33"
33.0,"2019-10-24 00:32:03"
34.0,"2019-10-24 00:31:23"
33.0,"2019-10-24 00:31:03"
34.0,"2019-10-24 00:29:23"
33.0,"2019-10-24 00:28:43"
34.0,"2019-10-24 00:28:33"
33.0,"2019-10-24 00:27:33"
34.0,"2019-10-24 00:26:33"
33.0,"2019-10-24 00:26:23"
34.0,"2019-10-24 00:26:13"
33.0,"2019-10-24 00:25:43"
34.0,"2019-10-24 00:25:13"
33.0,"2019-10-24 00:25:03"
34.0,"2019-10-24 00:24:53"
33.0,"2019-10-24 00:24:43"
34.0,"2019-10-24 00:24:33"
33.0,"2019-10-24 00:24:13"
34.0,"2019-10-24 00:23:43"
33.0,"2019-10-24 00:23:33"
34.0,"2019-10-24 00:23:23"
33.0,"2019-10-24 00:23:03"
34.0,"2019-10-24 00:22:43"
33.0,"2019-10-24 00:22:13"
34.0,"2019-10-24 00:21:53"
33.0,"2019-10-24 00:21:43"
34.0,"2019-10-24 00:21:33"
33.0,"2019-10-24 00:20:53"
34.0,"2019-10-24 00:20:33"
33.0,"2019-10-24 00:20:23"
34.0,"2019-10-24 00:20:03"
33.0,"2019-10-24 00:18:53"
34.0,"2019-10-24 00:18:25"
33.0,"2019-10-24 00:16:23"
34.0,"2019-10-24 00:16:13"
33.0,"2019-10-24 00:16:03"
34.0,"2019-10-24 00:15:53"
33.0,"2019-10-24 00:14:53"
34.0,"2019-10-24 00:14:13"
33.0,"2019-10-24 00:13:53"
34.0,"2019-10-24 00:13:43"
33.0,"2019-10-24 00:13:23"
34.0,"2019-10-24 00:13:03"
33.0,"2019-10-24 00:12:53"
34.0,"2019-10-24 00:12:43"
33.0,"2019-10-24 00:12:23"
34.0,"2019-10-24 00:12:13"
33.0,"2019-10-24 00:12:03"
34.0,"2019-10-24 00:11:53"
33.0,"2019-10-24 00:11:23"
34.0,"2019-10-24 00:11:13"
33.0,"2019-10-24 00:11:04"
34.0,"2019-10-24 00:10:23"
33.0,"2019-10-24 00:10:13"
34.0,"2019-10-24 00:09:03"
33.0,"2019-10-24 00:08:23"
34.0,"2019-10-24 00:07:53"
33.0,"2019-10-24 00:07:43"
34.0,"2019-10-24 00:07:13"
33.0,"2019-10-24 00:07:03"
34.0,"2019-10-24 00:06:13"
