humidity_out,statetime
17.0,"2019-10-24 04:43:09"
18.0,"2019-10-24 04:42:39"
17.0,"2019-10-24 04:42:09"
18.0,"2019-10-24 04:41:39"
17.0,"2019-10-24 04:40:09"
18.0,"2019-10-24 04:39:09"
17.0,"2019-10-24 04:38:09"
18.0,"2019-10-24 04:36:09"
17.0,"2019-10-24 04:33:39"
18.0,"2019-10-24 04:31:39"
17.0,"2019-10-24 04:31:09"
18.0,"2019-10-24 04:30:09"
17.0,"2019-10-24 04:28:39"
18.0,"2019-10-24 04:26:39"
17.0,"2019-10-24 04:25:09"
18.0,"2019-10-24 04:24:09"
17.0,"2019-10-24 03:43:39"
18.0,"2019-10-24 03:43:09"
17.0,"2019-10-24 03:42:39"
18.0,"2019-10-24 03:42:09"
17.0,"2019-10-24 03:41:39"
18.0,"2019-10-24 03:41:09"
17.0,"2019-10-24 03:39:39"
18.0,"2019-10-24 03:39:09"
17.0,"2019-10-24 03:38:39"
18.0,"2019-10-24 03:37:09"
17.0,"2019-10-24 03:36:39"
18.0,"2019-10-24 03:36:09"
17.0,"2019-10-24 03:15:09"
18.0,"2019-10-24 03:14:39"
17.0,"2019-10-24 03:12:39"
18.0,"2019-10-24 03:11:39"
17.0,"2019-10-24 03:10:39"
18.0,"2019-10-24 03:09:39"
17.0,"2019-10-24 03:08:39"
18.0,"2019-10-24 03:08:09"
17.0,"2019-10-24 03:07:39"
18.0,"2019-10-24 03:07:09"
17.0,"2019-10-24 03:06:40"
18.0,"2019-10-24 03:05:09"
17.0,"2019-10-24 03:04:39"
18.0,"2019-10-24 03:04:09"
17.0,"2019-10-24 03:03:39"
18.0,"2019-10-24 03:03:09"
17.0,"2019-10-24 03:01:09"
18.0,"2019-10-24 03:00:39"
17.0,"2019-10-24 03:00:09"
18.0,"2019-10-24 02:58:39"
17.0,"2019-10-24 02:57:09"
18.0,"2019-10-24 02:56:09"
17.0,"2019-10-24 02:55:09"
18.0,"2019-10-24 02:54:39"
17.0,"2019-10-24 02:53:39"
18.0,"2019-10-24 02:53:09"
17.0,"2019-10-24 02:50:09"
18.0,"2019-10-24 02:49:39"
17.0,"2019-10-24 02:48:09"
18.0,"2019-10-24 02:47:39"
17.0,"2019-10-24 02:46:39"
18.0,"2019-10-24 02:45:09"
17.0,"2019-10-24 01:57:39"
18.0,"2019-10-24 01:57:09"
17.0,"2019-10-24 01:32:09"
18.0,"2019-10-24 01:30:39"
17.0,"2019-10-24 01:28:39"
18.0,"2019-10-24 01:27:39"
17.0,"2019-10-24 01:26:39"
18.0,"2019-10-24 01:25:09"
17.0,"2019-10-24 01:24:39"
18.0,"2019-10-24 01:23:39"
17.0,"2019-10-24 01:23:09"
18.0,"2019-10-24 01:18:09"
17.0,"2019-10-24 01:17:39"
18.0,"2019-10-24 01:16:39"
17.0,"2019-10-24 01:16:09"
18.0,"2019-10-24 01:15:39"
17.0,"2019-10-24 01:11:09"
18.0,"2019-10-24 01:10:39"
17.0,"2019-10-24 01:07:09"
18.0,"2019-10-24 01:06:39"
17.0,"2019-10-24 00:44:39"
18.0,"2019-10-24 00:44:09"
17.0,"2019-10-24 00:43:39"
18.0,"2019-10-24 00:40:09"
17.0,"2019-10-24 00:37:39"
18.0,"2019-10-24 00:37:09"
17.0,"2019-10-24 00:12:09"
18.0,"2019-10-24 00:11:39"
17.0,"2019-10-23 18:46:39"
16.0,"2019-10-23 18:36:39"
17.0,"2019-10-23 18:20:52"
16.0,"2019-10-23 18:20:32"
17.0,"2019-10-23 18:19:52"
16.0,"2019-10-23 18:19:22"
17.0,"2019-10-23 18:19:13"
16.0,"2019-10-23 17:49:07"
17.0,"2019-10-23 17:48:00"
16.0,"2019-10-23 17:45:56"
17.0,"2019-10-23 17:45:26"
16.0,"2019-10-23 17:44:56"
17.0,"2019-10-23 17:44:26"
16.0,"2019-10-23 17:42:06"
17.0,"2019-10-23 17:41:36"
16.0,"2019-10-23 16:08:36"
15.0,"2019-10-23 16:04:06"
16.0,"2019-10-23 16:03:06"
15.0,"2019-10-23 15:40:36"
14.0,"2019-10-23 15:40:06"
15.0,"2019-10-23 15:38:06"
14.0,"2019-10-23 15:27:06"
13.0,"2019-10-23 15:18:06"
12.0,"2019-10-23 15:16:06"
11.0,"2019-10-23 15:09:36"
10.0,"2019-10-23 15:09:06"
11.0,"2019-10-23 15:08:06"
10.0,"2019-10-23 14:57:06"
9.0,"2019-10-23 14:42:06"
8.0,"2019-10-23 14:40:06"
9.0,"2019-10-23 14:39:36"
8.0,"2019-10-23 14:30:06"
9.0,"2019-10-23 14:29:36"
8.0,"2019-10-23 14:28:36"
7.0,"2019-10-23 14:28:06"
8.0,"2019-10-23 14:23:37"
7.0,"2019-10-23 14:22:06"
8.0,"2019-10-23 14:20:06"
7.0,"2019-10-23 14:19:36"
8.0,"2019-10-23 14:18:36"
7.0,"2019-10-23 14:18:06"
8.0,"2019-10-23 14:17:36"
7.0,"2019-10-23 14:14:36"
8.0,"2019-10-23 14:13:36"
7.0,"2019-10-23 14:07:06"
8.0,"2019-10-23 14:06:06"
7.0,"2019-10-23 14:03:37"
8.0,"2019-10-23 14:01:06"
7.0,"2019-10-23 14:00:36"
8.0,"2019-10-23 13:57:36"
7.0,"2019-10-23 13:57:06"
8.0,"2019-10-23 13:56:36"
9.0,"2019-10-23 13:55:06"
8.0,"2019-10-23 13:49:36"
7.0,"2019-10-23 13:49:06"
8.0,"2019-10-23 13:46:36"
7.0,"2019-10-23 13:42:06"
8.0,"2019-10-23 13:40:36"
7.0,"2019-10-23 13:32:36"
6.0,"2019-10-23 13:31:36"
7.0,"2019-10-23 13:31:06"
6.0,"2019-10-23 13:30:36"
7.0,"2019-10-23 13:26:06"
6.0,"2019-10-23 13:23:06"
7.0,"2019-10-23 13:21:06"
6.0,"2019-10-23 13:19:36"
