motion_detected,statetime
EA674E,"2019-10-24 05:53:39"
EA674E,"2019-10-24 05:53:00"
EA674E,"2019-10-24 05:52:46"
EA674E,"2019-10-24 05:51:01"
EA674E,"2019-10-24 05:50:46"
EA674E,"2019-10-24 05:49:44"
EA674E,"2019-10-24 05:46:15"
EA674E,"2019-10-24 05:45:59"
EA674E,"2019-10-24 05:45:14"
EA674E,"2019-10-24 05:43:22"
EA674E,"2019-10-24 05:40:38"
EA674E,"2019-10-24 05:39:39"
EA674E,"2019-10-24 05:39:32"
EA674E,"2019-10-24 05:39:13"
EA674E,"2019-10-24 05:39:07"
EA674E,"2019-10-24 05:38:58"
EA674E,"2019-10-24 05:38:46"
EA674E,"2019-10-24 05:38:38"
EA674E,"2019-10-24 05:38:30"
EA674E,"2019-10-24 05:38:11"
EA674E,"2019-10-24 05:37:56"
EA674E,"2019-10-24 05:37:31"
EA674E,"2019-10-24 05:37:20"
EA674E,"2019-10-24 05:37:11"
EA674E,"2019-10-24 05:36:53"
EA674E,"2019-10-24 05:36:35"
EA674E,"2019-10-24 05:36:27"
EA674E,"2019-10-24 05:36:17"
EA674E,"2019-10-24 05:36:08"
EA674E,"2019-10-24 05:35:24"
EA674E,"2019-10-24 05:34:02"
EA674E,"2019-10-24 05:32:10"
EA674E,"2019-10-24 05:30:37"
EA674E,"2019-10-24 05:30:29"
EA674E,"2019-10-24 05:30:24"
EA674E,"2019-10-24 05:27:14"
EA674E,"2019-10-24 05:26:19"
EA674E,"2019-10-24 05:22:30"
EA674E,"2019-10-24 05:21:17"
EA674E,"2019-10-24 05:20:59"
EA674E,"2019-10-24 05:20:48"
EA674E,"2019-10-24 05:20:24"
EA674E,"2019-10-24 05:20:15"
EA674E,"2019-10-24 05:20:07"
EA674E,"2019-10-23 14:31:11"
EA674E,"2019-10-23 14:31:04"
EA674E,"2019-10-23 14:30:56"
EA674E,"2019-10-23 14:30:49"
EA674E,"2019-10-23 14:30:41"
EA674E,"2019-10-23 14:30:36"
EA674E,"2019-10-23 14:30:27"
EA674E,"2019-10-23 14:30:17"
EA674E,"2019-10-23 14:30:11"
EA674E,"2019-10-23 14:29:49"
EA674E,"2019-10-23 14:29:42"
EA674E,"2019-10-23 14:29:22"
EA674E,"2019-10-23 14:29:03"
EA674E,"2019-10-23 14:28:56"
EA674E,"2019-10-23 14:28:44"
EA674E,"2019-10-23 14:28:36"
EA674E,"2019-10-23 14:27:22"
EA674E,"2019-10-23 14:27:00"
EA674E,"2019-10-23 14:26:23"
EA674E,"2019-10-23 14:26:12"
EA674E,"2019-10-23 14:25:43"
EA674E,"2019-10-23 14:25:30"
EA674E,"2019-10-23 14:24:50"
EA674E,"2019-10-23 14:24:23"
EA674E,"2019-10-23 14:23:42"
EA674E,"2019-10-23 14:22:49"
EA674E,"2019-10-23 14:22:38"
EA674E,"2019-10-23 14:21:54"
EA674E,"2019-10-23 14:21:09"
EA674E,"2019-10-23 14:20:39"
EA674E,"2019-10-23 14:20:29"
EA674E,"2019-10-23 14:20:22"
EA674E,"2019-10-23 14:20:03"
EA674E,"2019-10-23 14:19:53"
EA674E,"2019-10-23 14:19:33"
EA674E,"2019-10-23 14:19:26"
EA674E,"2019-10-23 14:19:07"
EA674E,"2019-10-23 14:18:55"
EA674E,"2019-10-23 14:18:41"
EA674E,"2019-10-23 14:18:32"
EA674E,"2019-10-23 14:18:20"
EA674E,"2019-10-23 14:17:19"
EA674E,"2019-10-23 14:16:53"
EA674E,"2019-10-23 14:16:47"
EA674E,"2019-10-23 14:16:24"
EA674E,"2019-10-23 14:16:15"
EA674E,"2019-10-23 14:16:01"
EA674E,"2019-10-23 14:15:53"
EA674E,"2019-10-23 14:14:52"
EA674E,"2019-10-23 14:12:19"
EA674E,"2019-10-23 14:11:32"
EA674E,"2019-10-23 14:11:04"
EA674E,"2019-10-23 14:10:50"
EA674E,"2019-10-23 14:10:39"
EA674E,"2019-10-23 14:09:39"
EA674E,"2019-10-23 14:09:21"
EA674E,"2019-10-23 14:09:09"
EA674E,"2019-10-23 14:08:56"
EA674E,"2019-10-23 14:08:50"
EA674E,"2019-10-23 14:07:28"
EA674E,"2019-10-23 14:07:19"
EA674E,"2019-10-23 14:06:36"
EA674E,"2019-10-23 14:06:25"
EA674E,"2019-10-23 14:06:07"
EA674E,"2019-10-23 14:05:45"
EA674E,"2019-10-23 14:05:32"
EA674E,"2019-10-23 14:05:08"
EA674E,"2019-10-23 14:04:52"
EA674E,"2019-10-23 14:04:39"
EA674E,"2019-10-23 14:04:32"
EA674E,"2019-10-23 14:04:24"
EA674E,"2019-10-23 14:04:16"
EA674E,"2019-10-23 14:04:02"
EA674E,"2019-10-23 14:03:23"
EA674E,"2019-10-23 14:02:17"
EA674E,"2019-10-23 14:02:09"
EA674E,"2019-10-23 14:01:46"
EA674E,"2019-10-23 14:00:03"
EA674E,"2019-10-23 13:59:50"
EA674E,"2019-10-23 13:57:21"
EA674E,"2019-10-23 13:57:11"
EA674E,"2019-10-23 13:56:47"
EA674E,"2019-10-23 13:56:35"
EA674E,"2019-10-23 13:56:29"
EA674E,"2019-10-23 13:56:20"
EA674E,"2019-10-23 13:56:12"
EA674E,"2019-10-23 13:55:51"
EA674E,"2019-10-23 13:55:40"
EA674E,"2019-10-23 13:55:27"
EA674E,"2019-10-23 13:54:28"
EA674E,"2019-10-23 13:53:02"
EA674E,"2019-10-23 13:51:19"
EA674E,"2019-10-23 13:51:05"
EA674E,"2019-10-23 13:47:54"
EA674E,"2019-10-23 13:47:25"
EA674E,"2019-10-23 13:47:15"
EA674E,"2019-10-23 13:46:42"
EA674E,"2019-10-23 13:46:00"
EA674E,"2019-10-23 13:45:12"
EA674E,"2019-10-23 13:45:05"
EA674E,"2019-10-23 13:42:25"
EA674E,"2019-10-23 13:32:02"
EA674E,"2019-10-23 13:31:56"
EA674E,"2019-10-23 13:31:49"
EA674E,"2019-10-23 13:29:50"
EA674E,"2019-10-23 13:29:46"
EA674E,"2019-10-23 13:29:23"
EA674E,"2019-10-23 13:28:07"
EA674E,"2019-10-23 13:25:56"
EA674E,"2019-10-23 13:25:36"
EA674E,"2019-10-23 13:23:31"
EA674E,"2019-10-23 13:22:32"
EA674E,"2019-10-23 13:21:07"
EA674E,"2019-10-23 13:19:08"
EA674E,"2019-10-23 13:15:15"
EA674E,"2019-10-23 13:12:57"
EA674E,"2019-10-23 13:12:40"
EA674E,"2019-10-23 13:12:17"
EA674E,"2019-10-23 13:12:07"
EA674E,"2019-10-23 13:11:42"
EA674E,"2019-10-23 13:10:31"
EA674E,"2019-10-23 13:10:08"
EA674E,"2019-10-23 13:09:22"
EA674E,"2019-10-23 13:08:16"
EA674E,"2019-10-23 13:05:43"
EA674E,"2019-10-23 13:05:19"
EA674E,"2019-10-23 13:05:03"
EA674E,"2019-10-23 13:04:54"
EA674E,"2019-10-23 13:04:44"
EA674E,"2019-10-23 13:04:39"
EA674E,"2019-10-23 13:04:25"
EA674E,"2019-10-23 13:04:16"
EA674E,"2019-10-23 13:03:13"
EA674E,"2019-10-23 13:01:30"
EA674E,"2019-10-23 12:56:13"
EA674E,"2019-10-23 12:56:06"
EA674E,"2019-10-23 12:54:39"
EA674E,"2019-10-23 12:54:07"
EA674E,"2019-10-23 12:51:57"
EA674E,"2019-10-23 12:49:36"
EA674E,"2019-10-23 12:49:17"
EA674E,"2019-10-23 12:48:52"
EA674E,"2019-10-23 12:48:31"
EA674E,"2019-10-23 12:41:35"
EA674E,"2019-10-23 12:41:30"
EA674E,"2019-10-23 12:41:22"
EA674E,"2019-10-23 12:40:18"
EA674E,"2019-10-23 12:39:47"
EA674E,"2019-10-23 12:39:19"
EA674E,"2019-10-23 12:38:51"
EA674E,"2019-10-23 12:38:42"
EA674E,"2019-10-23 12:38:35"
EA674E,"2019-10-23 12:38:29"
EA674E,"2019-10-23 12:38:23"
EA674E,"2019-10-23 12:38:16"
EA674E,"2019-10-23 12:37:55"
EA674E,"2019-10-23 12:37:03"
EA674E,"2019-10-23 12:36:37"
EA674E,"2019-10-23 12:36:30"
EA674E,"2019-10-23 12:32:11"
EA674E,"2019-10-23 12:31:31"
EA674E,"2019-10-23 12:31:17"
EA674E,"2019-10-23 12:28:18"
EA674E,"2019-10-23 12:28:09"
EA674E,"2019-10-23 12:27:37"
EA674E,"2019-10-23 12:27:07"
EA674E,"2019-10-23 12:24:54"
EA674E,"2019-10-23 12:23:48"
EA674E,"2019-10-23 12:19:18"
EA674E,"2019-10-23 12:18:40"
EA674E,"2019-10-23 12:16:52"
EA674E,"2019-10-23 12:16:38"
EA674E,"2019-10-23 12:15:58"
EA674E,"2019-10-23 12:15:10"
EA674E,"2019-10-23 12:14:22"
