temp_in,statetime
27.5,"2019-10-24 05:53:53"
27.6,"2019-10-24 05:50:43"
27.7,"2019-10-24 05:48:04"
27.9,"2019-10-24 05:47:53"
27.8,"2019-10-24 05:47:44"
27.9,"2019-10-24 05:47:23"
27.8,"2019-10-24 05:46:43"
27.9,"2019-10-24 05:45:23"
28.0,"2019-10-24 05:44:03"
28.1,"2019-10-24 05:43:03"
28.2,"2019-10-24 05:42:43"
28.3,"2019-10-24 05:42:03"
28.4,"2019-10-24 05:41:13"
28.5,"2019-10-24 05:40:53"
28.6,"2019-10-24 05:39:53"
28.7,"2019-10-24 05:39:13"
28.6,"2019-10-24 05:39:03"
28.7,"2019-10-24 05:38:53"
28.6,"2019-10-24 05:32:23"
28.5,"2019-10-24 05:32:13"
28.6,"2019-10-24 05:31:53"
28.5,"2019-10-24 05:27:53"
28.4,"2019-10-24 05:23:53"
28.3,"2019-10-23 23:22:23"
28.4,"2019-10-23 23:22:13"
28.3,"2019-10-23 23:19:23"
28.4,"2019-10-23 23:19:13"
28.3,"2019-10-23 23:19:03"
28.4,"2019-10-23 23:18:53"
28.3,"2019-10-23 23:18:33"
28.4,"2019-10-23 23:18:23"
28.3,"2019-10-23 23:18:13"
28.4,"2019-10-23 23:18:03"
28.3,"2019-10-23 23:17:43"
28.4,"2019-10-23 23:17:23"
28.3,"2019-10-23 23:17:13"
28.4,"2019-10-23 23:16:53"
28.3,"2019-10-23 22:53:13"
28.4,"2019-10-23 22:52:53"
28.3,"2019-10-23 22:48:03"
28.4,"2019-10-23 22:47:43"
28.3,"2019-10-23 22:47:03"
28.4,"2019-10-23 22:46:43"
28.3,"2019-10-23 22:46:33"
28.4,"2019-10-23 22:46:23"
28.3,"2019-10-23 22:45:53"
28.4,"2019-10-23 22:45:43"
28.3,"2019-10-23 22:45:23"
28.4,"2019-10-23 22:45:13"
28.3,"2019-10-23 22:44:33"
28.4,"2019-10-23 22:44:23"
28.3,"2019-10-23 22:44:03"
28.4,"2019-10-23 22:43:43"
28.3,"2019-10-23 22:43:23"
28.4,"2019-10-23 22:43:03"
28.3,"2019-10-23 22:42:23"
28.4,"2019-10-23 22:42:13"
28.3,"2019-10-23 22:41:53"
28.4,"2019-10-23 22:41:43"
28.3,"2019-10-23 22:41:23"
28.4,"2019-10-23 22:41:03"
28.3,"2019-10-23 22:40:23"
28.4,"2019-10-23 22:40:13"
28.3,"2019-10-23 22:33:33"
28.4,"2019-10-23 22:33:23"
28.3,"2019-10-23 22:31:23"
28.4,"2019-10-23 22:31:13"
28.3,"2019-10-23 22:31:03"
28.4,"2019-10-23 22:30:53"
28.3,"2019-10-23 22:28:43"
28.4,"2019-10-23 22:06:43"
28.5,"2019-10-23 22:03:53"
28.6,"2019-10-23 21:56:43"
28.5,"2019-10-23 21:56:13"
28.6,"2019-10-23 20:55:41"
