temp_out,statetime
22.0,"2019-10-24 05:52:39"
21.0,"2019-10-24 04:43:09"
20.0,"2019-10-24 04:42:39"
21.0,"2019-10-24 04:42:09"
20.0,"2019-10-24 04:41:39"
21.0,"2019-10-24 04:40:09"
20.0,"2019-10-24 04:39:09"
21.0,"2019-10-24 04:38:09"
20.0,"2019-10-24 04:36:09"
21.0,"2019-10-24 04:33:39"
20.0,"2019-10-24 04:31:39"
21.0,"2019-10-24 04:31:09"
20.0,"2019-10-24 04:30:09"
21.0,"2019-10-24 04:28:39"
20.0,"2019-10-24 04:26:39"
21.0,"2019-10-24 04:25:09"
20.0,"2019-10-24 04:24:09"
21.0,"2019-10-24 03:43:39"
20.0,"2019-10-24 03:43:09"
21.0,"2019-10-24 03:42:39"
20.0,"2019-10-24 03:42:09"
21.0,"2019-10-24 03:41:39"
20.0,"2019-10-24 03:41:09"
21.0,"2019-10-24 03:39:39"
20.0,"2019-10-24 03:39:09"
21.0,"2019-10-24 03:38:39"
20.0,"2019-10-24 03:37:09"
21.0,"2019-10-24 03:36:39"
20.0,"2019-10-24 03:36:09"
21.0,"2019-10-24 03:15:09"
20.0,"2019-10-24 03:14:39"
21.0,"2019-10-24 03:12:39"
20.0,"2019-10-24 03:11:39"
21.0,"2019-10-24 03:10:39"
20.0,"2019-10-24 03:09:39"
21.0,"2019-10-24 03:08:39"
20.0,"2019-10-24 03:08:09"
21.0,"2019-10-24 03:07:39"
20.0,"2019-10-24 03:07:09"
21.0,"2019-10-24 03:06:40"
20.0,"2019-10-24 03:05:09"
21.0,"2019-10-24 03:04:39"
20.0,"2019-10-24 03:04:09"
21.0,"2019-10-24 03:03:39"
20.0,"2019-10-24 03:03:09"
21.0,"2019-10-24 03:01:09"
20.0,"2019-10-24 03:00:39"
21.0,"2019-10-24 03:00:09"
20.0,"2019-10-24 02:58:39"
21.0,"2019-10-24 02:57:09"
20.0,"2019-10-24 02:56:09"
21.0,"2019-10-24 02:55:09"
20.0,"2019-10-24 02:54:39"
21.0,"2019-10-24 02:53:39"
20.0,"2019-10-24 02:53:09"
21.0,"2019-10-24 02:50:09"
20.0,"2019-10-24 02:49:39"
21.0,"2019-10-24 02:48:09"
20.0,"2019-10-24 02:47:39"
21.0,"2019-10-24 02:46:39"
20.0,"2019-10-24 02:45:09"
21.0,"2019-10-24 01:57:39"
20.0,"2019-10-24 01:57:09"
21.0,"2019-10-24 01:32:09"
20.0,"2019-10-24 01:30:39"
21.0,"2019-10-24 01:28:39"
20.0,"2019-10-24 01:27:39"
21.0,"2019-10-24 01:26:39"
20.0,"2019-10-24 01:25:09"
21.0,"2019-10-24 01:24:39"
20.0,"2019-10-24 01:23:39"
21.0,"2019-10-24 01:23:09"
20.0,"2019-10-24 01:18:09"
21.0,"2019-10-24 01:17:39"
20.0,"2019-10-24 01:16:39"
21.0,"2019-10-24 01:16:09"
20.0,"2019-10-24 01:15:39"
21.0,"2019-10-24 01:11:09"
20.0,"2019-10-24 01:10:39"
21.0,"2019-10-24 01:07:09"
20.0,"2019-10-24 01:06:39"
21.0,"2019-10-24 00:44:39"
20.0,"2019-10-24 00:44:09"
21.0,"2019-10-24 00:43:39"
20.0,"2019-10-24 00:40:09"
21.0,"2019-10-24 00:37:39"
20.0,"2019-10-24 00:37:09"
21.0,"2019-10-24 00:12:09"
20.0,"2019-10-24 00:11:39"
21.0,"2019-10-23 21:56:09"
22.0,"2019-10-23 18:46:39"
23.0,"2019-10-23 18:36:39"
22.0,"2019-10-23 18:20:52"
23.0,"2019-10-23 18:20:32"
22.0,"2019-10-23 18:19:52"
23.0,"2019-10-23 18:19:22"
22.0,"2019-10-23 18:19:13"
23.0,"2019-10-23 17:49:07"
22.0,"2019-10-23 17:48:00"
23.0,"2019-10-23 17:45:56"
22.0,"2019-10-23 17:45:26"
23.0,"2019-10-23 17:44:56"
22.0,"2019-10-23 17:44:26"
23.0,"2019-10-23 17:42:06"
22.0,"2019-10-23 17:41:36"
23.0,"2019-10-23 17:17:36"
24.0,"2019-10-23 17:16:36"
23.0,"2019-10-23 17:14:06"
24.0,"2019-10-23 17:10:06"
23.0,"2019-10-23 17:09:36"
24.0,"2019-10-23 17:08:36"
23.0,"2019-10-23 17:06:06"
24.0,"2019-10-23 17:05:36"
23.0,"2019-10-23 17:02:36"
24.0,"2019-10-23 17:02:06"
23.0,"2019-10-23 17:01:36"
24.0,"2019-10-23 17:01:06"
23.0,"2019-10-23 17:00:06"
24.0,"2019-10-23 16:58:36"
23.0,"2019-10-23 16:57:36"
24.0,"2019-10-23 16:56:36"
23.0,"2019-10-23 16:56:06"
24.0,"2019-10-23 16:55:06"
23.0,"2019-10-23 16:53:36"
24.0,"2019-10-23 16:53:06"
23.0,"2019-10-23 16:52:36"
24.0,"2019-10-23 16:52:06"
23.0,"2019-10-23 16:50:36"
24.0,"2019-10-23 16:50:06"
23.0,"2019-10-23 16:49:36"
24.0,"2019-10-23 16:08:36"
25.0,"2019-10-23 16:04:06"
24.0,"2019-10-23 16:03:06"
25.0,"2019-10-23 16:00:06"
26.0,"2019-10-23 15:59:36"
25.0,"2019-10-23 15:57:36"
26.0,"2019-10-23 15:57:06"
25.0,"2019-10-23 15:56:06"
26.0,"2019-10-23 15:54:36"
25.0,"2019-10-23 15:54:06"
26.0,"2019-10-23 15:40:36"
27.0,"2019-10-23 15:40:06"
26.0,"2019-10-23 15:38:06"
27.0,"2019-10-23 15:33:06"
28.0,"2019-10-23 15:27:06"
29.0,"2019-10-23 15:26:06"
30.0,"2019-10-23 15:25:06"
29.0,"2019-10-23 15:24:36"
30.0,"2019-10-23 15:18:06"
31.0,"2019-10-23 15:17:06"
32.0,"2019-10-23 15:16:06"
33.0,"2019-10-23 15:11:36"
34.0,"2019-10-23 15:09:36"
35.0,"2019-10-23 15:09:06"
34.0,"2019-10-23 15:08:06"
35.0,"2019-10-23 15:05:06"
36.0,"2019-10-23 14:57:06"
37.0,"2019-10-23 14:55:06"
38.0,"2019-10-23 14:53:36"
37.0,"2019-10-23 14:51:36"
38.0,"2019-10-23 14:51:06"
37.0,"2019-10-23 14:50:36"
38.0,"2019-10-23 14:48:36"
37.0,"2019-10-23 14:48:06"
38.0,"2019-10-23 14:46:36"
37.0,"2019-10-23 14:46:06"
38.0,"2019-10-23 14:42:06"
39.0,"2019-10-23 14:40:06"
38.0,"2019-10-23 14:39:36"
39.0,"2019-10-23 14:35:06"
40.0,"2019-10-23 14:33:36"
39.0,"2019-10-23 14:33:06"
40.0,"2019-10-23 14:32:36"
39.0,"2019-10-23 14:30:06"
38.0,"2019-10-23 14:29:36"
39.0,"2019-10-23 14:28:36"
41.0,"2019-10-23 14:28:06"
40.0,"2019-10-23 14:27:06"
39.0,"2019-10-23 14:23:37"
41.0,"2019-10-23 14:22:06"
40.0,"2019-10-23 14:21:36"
39.0,"2019-10-23 14:20:06"
41.0,"2019-10-23 14:19:36"
40.0,"2019-10-23 14:19:06"
39.0,"2019-10-23 14:18:36"
41.0,"2019-10-23 14:18:06"
40.0,"2019-10-23 14:17:36"
41.0,"2019-10-23 14:14:36"
39.0,"2019-10-23 14:14:06"
40.0,"2019-10-23 14:13:36"
42.0,"2019-10-23 14:13:06"
41.0,"2019-10-23 14:12:36"
42.0,"2019-10-23 14:12:06"
41.0,"2019-10-23 14:07:06"
40.0,"2019-10-23 14:06:06"
41.0,"2019-10-23 14:03:37"
39.0,"2019-10-23 14:02:06"
40.0,"2019-10-23 14:01:06"
41.0,"2019-10-23 14:00:36"
40.0,"2019-10-23 14:00:06"
39.0,"2019-10-23 13:59:36"
40.0,"2019-10-23 13:59:06"
39.0,"2019-10-23 13:57:36"
41.0,"2019-10-23 13:57:06"
39.0,"2019-10-23 13:56:36"
38.0,"2019-10-23 13:55:06"
39.0,"2019-10-23 13:54:06"
40.0,"2019-10-23 13:53:36"
39.0,"2019-10-23 13:49:36"
41.0,"2019-10-23 13:49:06"
40.0,"2019-10-23 13:48:36"
39.0,"2019-10-23 13:48:06"
40.0,"2019-10-23 13:47:36"
39.0,"2019-10-23 13:46:36"
41.0,"2019-10-23 13:44:36"
42.0,"2019-10-23 13:42:36"
41.0,"2019-10-23 13:42:06"
40.0,"2019-10-23 13:41:36"
39.0,"2019-10-23 13:41:06"
40.0,"2019-10-23 13:40:36"
41.0,"2019-10-23 13:39:06"
42.0,"2019-10-23 13:38:36"
41.0,"2019-10-23 13:34:36"
42.0,"2019-10-23 13:32:36"
43.0,"2019-10-23 13:31:36"
42.0,"2019-10-23 13:31:06"
43.0,"2019-10-23 13:30:36"
42.0,"2019-10-23 13:26:06"
43.0,"2019-10-23 13:23:06"
42.0,"2019-10-23 13:22:36"
41.0,"2019-10-23 13:22:06"
42.0,"2019-10-23 13:21:06"
43.0,"2019-10-23 13:19:36"
42.0,"2019-10-23 13:16:36"
43.0,"2019-10-23 13:15:36"
42.0,"2019-10-23 13:12:06"
41.0,"2019-10-23 13:10:06"
